timestamp,node_id,soil_pct,payload_bytes,rtt_cloud_ms,jitter_ms,cpu_percent,ram_percent
1771978758.1444206,node2,15,48,128.1679,128.1679,0.0,3.6
1771978762.413705,node1,18,49,128.1698,128.1698,0.1,3.6
1771978770.648525,node1,19,48,128.2203,0.0505,0.0,3.5
1771978771.3829236,node2,15,48,128.4969,0.329,0.0,3.5
1771978780.176094,node1,19,49,127.3522,0.8681,0.1,3.4
1771978783.8750982,node2,15,48,128.0627,0.4342,0.0,3.4
1771978788.8679972,node1,18,49,128.2957,0.9434,0.1,3.4
1771978795.461469,node2,15,48,127.4078,0.6549,0.0,3.4
1771978799.5050483,node1,18,48,127.3463,0.9494,0.0,3.4
1771978808.5676618,node2,15,48,128.6857,1.2779,0.0,3.4
1771978809.3520722,node1,19,49,129.02,1.6737,0.0,3.4
1771978818.834657,node1,18,48,128.222,0.798,0.0,3.4
1771978820.2253745,node2,15,48,128.0921,0.5937,0.0,3.4
1771978827.6885808,node1,18,49,128.2506,0.0286,0.0,3.4
1771978833.351057,node2,15,48,128.4387,0.3467,0.0,3.4
1771978836.2758226,node1,18,48,128.1798,0.0708,0.1,3.4
1771978846.2228262,node2,15,48,128.3243,0.1144,0.0,3.4
1771978847.2958932,node1,18,48,465.9052,337.7254,0.0,3.4
1771978857.562458,node1,19,49,127.8529,338.0523,0.0,3.4
1771978858.3403451,node2,15,47,128.3648,0.0405,0.0,3.4
1771978867.8181345,node1,18,49,128.36,0.5071,0.0,3.4
1771978870.2634583,node2,15,48,128.2887,0.0761,0.0,3.4
1771978877.6946414,node1,19,49,127.5156,0.8445,0.0,3.4
1771978883.7715507,node2,15,48,128.202,0.0868,0.0,3.4
1771978886.6367419,node1,19,49,128.422,0.9065,0.1,3.4
1771978894.877714,node1,19,49,128.2761,0.1459,0.0,3.4
1771978895.413969,node2,15,48,128.2265,0.0246,0.0,3.4
1771978905.0575345,node1,18,49,128.1862,0.0899,0.1,3.4
1771978906.5713353,node2,15,48,128.3383,0.1118,0.0,3.4
1771978914.0682995,node1,18,49,128.4165,0.2303,0.0,3.4
1771978920.2654097,node2,15,48,128.0143,0.324,0.0,3.4
1771978923.338994,node1,19,48,129.0765,0.6599,0.0,3.4
